"biomass_sample_id","subplot_id","plot_number","subplot_number","crop"
"plot_146_subplot_3_pea",714017,146,3,"pea"
"plot_146_subplot_3_weed",714017,146,3,"weed"
"plot_147_subplot_3_oat",713899,147,3,"oat"
"plot_147_subplot_3_pea",713899,147,3,"pea"
"plot_147_subplot_3_weed",713899,147,3,"weed"
"plot_148_subplot_3_oat",713735,148,3,"oat"
"plot_148_subplot_3_pea",713735,148,3,"pea"
"plot_148_subplot_3_weed",713735,148,3,"weed"
"plot_149_subplot_3_oat",714488,149,3,"oat"
"plot_149_subplot_3_pea",714488,149,3,"pea"
"plot_149_subplot_3_weed",714488,149,3,"weed"
"plot_150_subplot_3_oat",714082,150,3,"oat"
"plot_150_subplot_3_pea",714082,150,3,"pea"
"plot_150_subplot_3_weed",714082,150,3,"weed"
"plot_151_subplot_3_oat",713767,151,3,"oat"
"plot_151_subplot_3_pea",713767,151,3,"pea"
"plot_151_subplot_3_weed",713767,151,3,"weed"
"plot_152_subplot_3_oat",713953,152,3,"oat"
"plot_152_subplot_3_pea",713953,152,3,"pea"
"plot_152_subplot_3_weed",713953,152,3,"weed"
"plot_153_subplot_1_oat",714104,153,1,"oat"
"plot_153_subplot_1_pea",714104,153,1,"pea"
"plot_153_subplot_1_weed",714104,153,1,"weed"
"plot_154_subplot_1_oat",713526,154,1,"oat"
"plot_154_subplot_1_pea",713526,154,1,"pea"
"plot_154_subplot_1_weed",713526,154,1,"weed"
"plot_157_subplot_1_oat",714223,157,1,"oat"
"plot_157_subplot_1_pea",714223,157,1,"pea"
"plot_157_subplot_1_weed",714223,157,1,"weed"
"plot_158_subplot_1_oat",714437,158,1,"oat"
"plot_158_subplot_1_pea",714437,158,1,"pea"
"plot_158_subplot_1_weed",714437,158,1,"weed"
"plot_163_subplot_1_oat",714032,163,1,"oat"
"plot_163_subplot_1_pea",714032,163,1,"pea"
"plot_163_subplot_1_weed",714032,163,1,"weed"
"plot_164_subplot_1_oat",714449,164,1,"oat"
"plot_164_subplot_1_pea",714449,164,1,"pea"
"plot_164_subplot_1_weed",714449,164,1,"weed"
"plot_167_subplot_3_oat",713887,167,3,"oat"
"plot_167_subplot_3_pea",713887,167,3,"pea"
"plot_167_subplot_3_weed",713887,167,3,"weed"
"plot_168_subplot_3_oat",713501,168,3,"oat"
"plot_168_subplot_3_pea",713501,168,3,"pea"
"plot_168_subplot_3_weed",713501,168,3,"weed"
"plot_173_subplot_3_oat",713555,173,3,"oat"
"plot_173_subplot_3_pea",713555,173,3,"pea"
"plot_173_subplot_3_weed",713555,173,3,"weed"
"plot_174_subplot_3_oat",714091,174,3,"oat"
"plot_174_subplot_3_pea",714091,174,3,"pea"
"plot_174_subplot_3_weed",714091,174,3,"weed"
"plot_175_subplot_3_oat",713905,175,3,"oat"
"plot_175_subplot_3_pea",713905,175,3,"pea"
"plot_175_subplot_3_weed",713905,175,3,"weed"
"plot_176_subplot_3_oat",713709,176,3,"oat"
"plot_176_subplot_3_pea",713709,176,3,"pea"
"plot_176_subplot_3_weed",713709,176,3,"weed"
"plot_177_subplot_1_oat",713659,177,1,"oat"
"plot_177_subplot_1_pea",713659,177,1,"pea"
"plot_177_subplot_1_weed",713659,177,1,"weed"
"plot_178_subplot_1_oat",713967,178,1,"oat"
"plot_178_subplot_1_pea",713967,178,1,"pea"
"plot_178_subplot_1_weed",713967,178,1,"weed"
"plot_189_subplot_1_oat",713787,189,1,"oat"
"plot_189_subplot_1_pea",713787,189,1,"pea"
"plot_189_subplot_1_weed",713787,189,1,"weed"
"plot_190_subplot_1_oat",713984,190,1,"oat"
"plot_190_subplot_1_pea",713984,190,1,"pea"
"plot_190_subplot_1_weed",713984,190,1,"weed"
"plot_195_subplot_1_oat",713557,195,1,"oat"
"plot_195_subplot_1_pea",713557,195,1,"pea"
"plot_195_subplot_1_weed",713557,195,1,"weed"
"plot_196_subplot_1_oat",713775,196,1,"oat"
"plot_196_subplot_1_pea",713775,196,1,"pea"
"plot_196_subplot_1_weed",713775,196,1,"weed"
"plot_197_subplot_3_oat",713863,197,3,"oat"
"plot_197_subplot_3_pea",713863,197,3,"pea"
"plot_197_subplot_3_weed",713863,197,3,"weed"
"plot_198_subplot_3_oat",713524,198,3,"oat"
"plot_198_subplot_3_pea",713524,198,3,"pea"
"plot_198_subplot_3_weed",713524,198,3,"weed"
"plot_199_subplot_3_oat",714339,199,3,"oat"
"plot_199_subplot_3_pea",714339,199,3,"pea"
"plot_199_subplot_3_weed",714339,199,3,"weed"
"plot_200_subplot_3_oat",714233,200,3,"oat"
"plot_200_subplot_3_pea",714233,200,3,"pea"
"plot_200_subplot_3_weed",714233,200,3,"weed"
