stock_uniquename	HORSEPOWER	REINS	NATTY	SPURS	HAYDEN	CORRAL	NEWBURG	OGLE	SABER	ESKER	COLT	BAKER	DEON	BUCKSKIN	GOLIATH	WARRIOR	GOPHER	LEGGETT	EXCEL	IL15-5752	IL17-1253	IL17-1704	IL17-5238	IL17-7334	IL17-7339	RUSHMORE	ND161488	A11	A25	A10	SD181237	SD170935	SD181245	SD180580	SD181377	ND170307	SADDLE	OT2130	MN18038X_008	ND170376	MN18015X_004	WI_X10642-3	WI_X10680-3	WI_X10710-7	OT3120	SD190850	SD190992	SD191467
COLT	-0.0265097309742225	-0.159649730017076	0.199333149773216	-0.167975733827481	0.0306055502296705	-0.0604297472830782	0	-0.236927548163485	-0.185415844324045	-0.171480258649291	1.41279813869802	-0.166649159977431	-0.141946933451854	-0.102280949492491	-0.0165157765643743	0.0253020618453518	0.0261031052945305	0	0.0666632130523234	-0.178966327757726	-0.031985477623683	0.0315928691750552	-0.181162266162505	-0.0317564412331756	-0.0351315039513827	0.249003738795194	0.000807077746030544	-0.0151898165427566	-0.0331827095717233	-0.047741230184639	-0.00335568654908399	-0.0442131257559462	0.0525583011449397	0.199378875946965	-0.0632181648654798	-0.0428420774664402	-0.120560581396871	-0.0173073755800825	-0.114167689077896	-0.00193475275552798	-0.147585014759905	-0.044160235381794	-0.164809031049863	-0.222575759668948	0.0480520138192005	0.251621384646831	0.13686618636819	0.246941013524743
BAKER	-0.119719339443179	0.0839604799005634	-0.246484706069212	-0.0896379888813888	-0.22311975293915	0.296836909764415	0	0.278223398752728	0.0192293325170216	0.0805302051523908	-0.166649159977431	1.4010637193969	0.0200897267002853	0.133941085322319	-0.0781485270595882	-0.0179108548318423	-0.0991834471341797	0	0.134475338673833	0.21726536236634	0.104243173607604	-0.0300398813201615	-0.0607220439180898	0.34129864480119	0.337923582082983	-0.0757694948145509	0.0602189494834997	-0.203630084918953	0.0494117196600436	-0.111499346120393	-0.0834082708623152	-0.211102069496973	-0.114330642596087	-0.204336502597139	-0.0985368670492411	-0.0470840076624668	-0.087462757970855	-0.208379048787426	0.097365576879993	-0.195637830794015	-0.0807790145150076	-0.140501334667907	-0.0980030308049648	0.00737734010695823	-0.198279160842193	-0.154725398728419	-0.0747566395023074	-0.143617340863634
DEON	-0.134619966817392	-0.147238883547092	0.144352012977398	0.0743262779386457	-0.193796332869929	-0.0579539718275338	0	0.10283765023314	0.0579994541014133	0.166058366428672	-0.141946933451854	0.0200897267002853	1.71991938812162	-0.0522739061562117	-0.113511306394543	0.0963546230442004	-0.123500037471584	0	-0.0869599943907985	-0.0836637264118552	-0.0166927364828998	0.117411687293893	0.0200493470865059	0.0135950397095396	0.0154827866536219	-0.100661237407019	-0.212466155755187	-0.201212389170766	0.000971224179274897	-0.121272571197946	0.0705557863569362	-0.198748707893825	0.0080181819956335	-0.135147299336065	-0.0117885186336728	-0.288611620012479	0.18353326746547	-0.250382645861889	-0.000441169651743112	-0.22141597596831	-0.128211006115612	-0.179908103799508	0.672982484019681	0.488025865603667	-0.28513971388632	-0.119314113940474	-0.220649147580273	-0.145034997876812
BUCKSKIN	-0.126297851521045	0.566823266415729	-0.155701239394701	0.0536723665379093	-0.16391314423838	0.32962826227561	0	0.205758558018112	-0.0058702212569807	0.0606934610406806	-0.102280949492491	0.133941085322319	-0.0522739061562117	1.27718527657683	-0.174194803396393	-0.0692232490391769	-0.241380515894147	0	0.109375784899831	-0.0892933004620866	0.384386580246457	-0.00241013059313494	0.0246974052160124	0.358301568325514	0.360189315269596	-0.127081889021884	-0.0516157558401767	-0.0563726222529368	-0.00858039450327471	0.0107597706497437	-0.100512402264759	-0.167683889783074	-0.126171964336242	-0.118815845584916	-0.0998525694648153	-0.149810003955257	-0.104566889373299	-0.318999259573648	-0.134299256138916	-0.119428298568923	0.153314807578804	-0.0221893251444899	-0.153363740137137	-0.121662704497282	-0.340476229602161	-0.195512173611172	-0.186591344825984	-0.14230163844806
GOLIATH	0.346269887658744	-0.165000244572993	0.502881542805278	-0.30810369758492	0.284462116775063	-0.145666606262825	0	-0.392742733029672	-0.387584237369639	-0.200583180108018	-0.0165157765643743	-0.0781485270595882	-0.113511306394543	-0.174194803396393	1.83043963419838	-0.231912508056842	0.259184801648984	0	-0.093099079060585	-0.196155661358985	-0.314917757409815	-0.246379409027613	-0.359749223605913	-0.279367171555085	-0.282742234273293	0.339441842186367	0.0355443711645933	-0.248323672470598	-0.159290466859806	-0.177408347659493	0.730381169350955	0.237407264452842	1.07834271864832	0.289167351270448	-0.230852349242187	0.226959163080927	-0.322353689737881	0.214791014269798	-0.222540874222737	-0.0768351377644888	-0.4371470701144	0.0877551063685551	-0.275384953947417	-0.353769676702047	0.170824029336361	-0.0436606034607149	-0.025266717283403	-0.0746442970593427
WARRIOR	0.000909397725825319	0.000131802736283965	-0.0793053819307143	0.0915851978605692	-0.042478539339835	0.0435099026910398	0	0.0043147575846703	0.0278930870627199	0.067535473780203	0.0253020618453518	-0.0179108548318423	0.0963546230442004	-0.0692232490391769	-0.231912508056842	1.67915664471734	-0.194465736511533	0	-0.172325862883541	-0.0968087348283414	0.0374058510750593	0.00690470012503054	-0.00742561512104048	-0.0349311611471708	-0.0330434142030882	0.121704486563997	0.055949152760877	0.00455798653139718	-0.157707969232184	-0.125064889925185	-0.116261940915141	-0.264521812933219	-0.180115247692017	0.104322556037396	0.219787122246353	-0.381944260117164	0.380900645540606	-0.123077711320329	-0.13280631475175	-0.0199931386828179	0.0959792034045698	-0.111409346788754	-0.0540801529191642	-0.235089664088463	-0.174938910747201	-0.00220458321526967	-0.0719627588813245	0.0668051067696222
GOPHER	0.0753851069996189	-0.261633139332808	0.132396799382977	-0.256227271580242	0.117355299000725	-0.350989879995071	0	-0.446533285187887	-0.291777638855865	-0.337203450401358	0.0261031052945305	-0.0991834471341797	-0.123500037471584	-0.241380515894147	0.259184801648984	-0.194465736511533	1.74487421179864	0	0.0315815317406445	-0.0803897686702207	-0.251342891375273	-0.0183743418838384	-0.250374816019333	-0.304438499945324	-0.302550753001241	0.0141101998004562	-0.215567466035401	0.0937889848339168	0.131763640589465	-0.0269442559643467	-0.00824557845091113	0.244199459619636	0.155048107490529	0.0413305811617665	-0.18105530457474	0.447329463544114	-0.333887726201057	0.442068505765975	0.130789814230306	0.0035147147957733	-0.114834722085473	0.264558638959003	0.0593759630903922	-0.00422011457560602	0.45262066641656	-0.0900568842235763	-0.0261474338934255	-0.0560546368995796
LEGGETT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EXCEL	-0.0951988189769979	0.00585621195208128	-0.00882039428026074	0.117360335836909	-0.0907116343960084	-0.0171829220840573	0	-0.0147451944465802	0.115708654327218	-0.112445004463396	0.0666632130523234	0.134475338673833	-0.0869599943907985	0.109375784899831	-0.093099079060585	-0.172325862883541	0.0315815317406445	0	1.30456783159131	0.136529689586712	0.174408447106346	0.0155318777951852	0.0147060392429436	0.132535006198532	0.129159943480324	0.0171675512614123	-0.10472167789278	-0.088653535031	-0.0250728782944648	0.0112940240012572	0.0858395153168596	-0.0944823799407017	-0.11349276561021	-0.0850854082097242	0.0759737287922246	-0.0584148896694889	-0.0287339746997814	-0.277600837079644	0.014986764432046	-0.167497640333858	-0.0736900627040129	-0.246562790596159	-0.143542175616875	-0.296039478157192	-0.249081115316396	0.0592562695802275	0.0760713128588512	-0.0848885575925594
IL15-5752	-0.0988511043802963	0.0727283170701741	-0.18038158645241	0.0846721705933883	-0.222496888795892	0.00765142228126011	0	0.00529594481092354	0.136761872365933	-0.136732915822877	-0.178966327757726	0.21726536236634	-0.0836637264118552	-0.0892933004620866	-0.196155661358985	-0.0968087348283414	-0.0803897686702207	0	0.136529689586712	1.81908686372283	-0.0168724631527394	0.242648313989929	0.240907626232871	-0.0207929497651899	-0.0241680124833986	-0.0701551846322112	-0.0201287058649406	-0.0445131451582961	-0.0225807627417109	-0.034615938439986	-0.13839600050248	-0.0656178667043534	-0.249614594239971	-0.20463463014478	-0.0115436214170366	-0.0889327637579685	0.0627335424494222	-0.2260926420485	0.0812630366730861	-0.175636166033899	0.19295103984344	-0.159720294860564	-0.0202620324277842	-0.0999624575979839	-0.281900948722093	0.0453935852227435	0.0519461496599006	-0.0579537412323843
